name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car3,0.5,0.033334,lidar,-11.3999,-0.353877,5.28032,,,,,-11.4583,-0.0543706,0.804538,0.174233,0.209759
car3,0.5,0,radar,,,,11.6263,3.16858,-1.74831,9.16951,-11.4415,-0.0324326,1.10114,0.239997,0.277531
car1,0.533333,0.033333,lidar,-7.33188,4.133,3.15317,,,,,-7.16107,3.9446,5.00402,0.0497438,0.21481
car1,0.533333,0,radar,,,,8.00629,2.6189,-4.37021,0.840562,-7.15187,3.94902,5.05321,0.0485935,0.195917
car2,0.533333,0.033333,lidar,21.4342,-3.867,3.20668,,,,,21.6409,-4.01081,-6.0119,-0.0435055,-0.0667485
car2,0.533333,0,radar,,,,21.7666,-0.196697,-5.87489,0.862917,21.637,-4.01449,-6.0091,-0.0392182,-0.0548022
car3,0.533333,0.033333,lidar,-11.5969,0.133596,2.31918,,,,,-11.4221,0.0116365,1.1113,0.371812,0.433873
car3,0.533333,0,radar,,,,11.2305,3.12795,-1.10785,1.49461,-11.4161,0.00840971,1.14417,0.345906,0.372328
car1,0.566666,0.033333,lidar,-6.84173,3.94509,0.830961,,,,,-6.9712,3.96357,5.09075,0.0616411,0.209615
car1,0.566666,0,radar,,,,7.91342,2.60029,-3.69174,2.93676,-6.96766,3.99284,5.06026,0.113117,0.381477
car2,0.566666,0.033333,lidar,21.5566,-4.05491,0.669825,,,,,21.4451,-4.01626,-6.00101,-0.0324997,-0.0322384
car2,0.566666,0,radar,,,,21.6232,-0.206839,-5.20523,4.81303,21.4548,-4.02928,-5.82746,-0.0129745,0.0326648
car3,0.566666,0.033333,lidar,-11.2368,-0.0530126,1.06582,,,,,-11.3718,0.00495722,1.14384,0.298435,0.289211
car3,0.566666,0,radar,,,,11.246,3.11937,-0.505653,3.40088,-11.3813,0.00825509,1.01113,0.348156,0.430138
car1,0.6,0.033334,lidar,-6.66134,4.13847,1.27258,,,,,-6.78064,4.04261,5.14906,0.154557,0.447087
car1,0.6,0,radar,,,,8.17154,2.64165,-4.13851,2.52902,-6.79493,4.01739,5.09977,0.121203,0.353767
car2,0.6,0.033334,lidar,21.3687,-3.86153,1.25939,,,,,21.2765,-3.97305,-5.77502,-0.0645654,-0.0997745
car2,0.6,0,radar,,,,21.8305,-0.156632,-5.66242,1.24361,21.282,-3.96407,-5.75246,-0.0733609,-0.121476
car3,0.6,0.033334,lidar,-11.1848,0.142497,1.68348,,,,,-11.3406,0.0453441,1.05682,0.436869,0.530625
car3,0.6,0,radar,,,,11.6099,3.17109,-1.02968,1.99753,-11.3422,0.0423057,1.0784,0.414893,0.47408
car1,0.633333,0.033333,lidar,-6.74741,4.14583,1.06701,,,,,-6.63268,4.05033,5.10228,0.141756,0.373806
car1,0.633333,0,radar,,,,7.44803,2.56628,-4.25199,2.78801,-6.6194,4.04676,5.17306,0.125492,0.311504
