name,x,y,v,angle,acc
car2,11,-4,-6,0,0
car3,-6.26911,1.85664,5.33333,0.366667,2.5
car1,2.68223,3.962,5.85001,-0.0975002,0
car2,10.8,-4,-6,0,0
car3,-6.10315,1.92038,5.41667,0.366667,2.5
car1,2.87631,3.94302,5.85001,-0.117,0
car2,10.6,-4,-6,0,0
car3,-5.9346,1.98511,5.5,0.366667,2.5
car1,3.06997,3.92025,5.85001,-0.1365,0
car2,10.4,-4,-6,0,0
car3,-5.76345,2.05084,5.58333,0.366667,2.5
car1,3.26316,3.89372,5.85001,-0.156,0
car2,10.2,-4,-6,0,0
car3,-5.58971,2.11756,5.66667,0.366667,2.5
car1,3.45579,3.86342,5.85001,-0.1755,0
car2,10,-4,-6,0,0
car3,-5.41338,2.18528,5.75,0.366667,2.5
car1,3.6478,3.82937,5.85001,-0.195,0
car2,9.8,-4,-6,0,0
car3,-5.23445,2.25399,5.83334,0.366667,2.5
car1,3.8391,3.79159,5.85001,-0.2145,0
car2,9.6,-4,-6,0,0
car3,-5.05293,2.3237,5.91667,0.366667,2.5
car1,4.02964,3.75008,5.85001,-0.234001,0
car2,9.4,-4,-6,0,0
car3,-4.86882,2.3944,6,0.366667,2.5
car1,4.21932,3.70487,5.85001,-0.253501,0
car2,9.2,-4,-6,0,0
car3,-4.68212,2.4661,6.08334,0.366667,2.5
car1,4.40809,3.65596,5.85001,-0.273001,0
car2,9,-4,-6,0,0
car3,-4.49282,2.5388,6.16667,0.366667,2.5
car1,4.59587,3.60339,5.85001,-0.292501,0
car2,8.8,-4,-6,0,0
car3,-4.30092,2.61249,6.25,0.366667,2.5
car1,4.78259,3.54716,5.85001,-0.312001,0
car2,8.6,-4,-6,0,0
car3,-4.10644,2.68718,6.33334,0.366667,2.5
car1,4.96817,3.4873,5.85001,-0.331501,0
car2,8.4,-4,-6,0,0
car3,-3.90936,2.76287,6.41667,0.366667,2.5
car1,5.15256,3.42383,5.85001,-0.351001,0
car2,8.2,-4,-6,0,0
car3,-3.70969,2.83955,6.5,0.366667,2.5
car1,5.33567,3.35679,5.85001,-0.370501,0
car2,8,-4,-6,0,0
car3,-3.50743,2.91722,6.58334,0.366667,2.5
car1,5.51744,3.28618,5.85001,-0.390001,0
car2,7.8,-4,-6,0,0
car3,-3.30257,2.9959,6.66667,0.366667,2.5
