name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car3,0.833333,0.033333,lidar,-10.7563,0.131889,3.76465,,,,,-11.0162,0.104223,1.34783,0.346926,0.260731
car1,0.866666,0.033333,lidar,-5.42474,4.10494,0.0227125,,,,,-5.42497,4.08608,5.1831,0.0564442,0.00594513
car2,0.866666,0.033333,lidar,19.6386,-3.89506,0.0279904,,,,,19.6377,-3.91589,-6.03361,-0.0462176,-0.00700139
car3,0.866666,0.033333,lidar,-10.9206,0.172875,0.212373,,,,,-10.9658,0.130764,1.39018,0.38376,0.30446
car1,0.9,0.033334,lidar,-5.32213,3.92496,1.08658,,,,,-5.26593,4.04542,5.13413,0.0103564,-0.0859709
car2,0.9,0.033334,lidar,19.3679,-4.07504,1.05292,,,,,19.4232,-3.95726,-6.07207,-0.00623547,0.074049
car3,0.9,0.033334,lidar,-10.9335,0.00908543,0.656915,,,,,-10.9247,0.11526,1.35727,0.294267,0.145115
car1,0.933333,0.033333,lidar,-5.37956,3.98044,3.04062,,,,,-5.14995,4.02858,4.96119,-0.00695892,-0.114064
car2,0.933333,0.033333,lidar,18.9365,-4.01956,3.03543,,,,,19.1665,-3.97565,-6.24231,0.0124272,0.105643
car3,0.933333,0.033333,lidar,-11.1055,0.0831569,1.84622,,,,,-10.926,0.120589,1.22148,0.315704,0.172107
car1,0.966666,0.033333,lidar,-4.85819,3.92698,0.899685,,,,,-4.96074,3.99903,5.03451,-0.0358164,-0.160092
car2,0.966666,0.033333,lidar,19.0835,-4.07302,0.843287,,,,,18.9826,-4.005,-6.16643,0.0347096,0.140733
car3,0.966666,0.033333,lidar,-10.6977,0.0508507,1.52219,,,,,-10.8508,0.111432,1.31438,0.224361,0.0194023
car1,1,0.033334,lidar,-4.72521,3.68115,3.31334,,,,,-4.78042,3.90838,5.06966,-0.112094,-0.286633
car2,1,0.033334,lidar,18.8415,-4.31885,3.16984,,,,,18.7895,-4.09679,-6.1265,0.0984845,0.24759
car3,1,0.033334,lidar,-10.6775,-0.171085,3.50221,,,,,-10.7807,0.052086,1.33543,0.00301204,-0.326996
car1,1.03333,0.033333,lidar,-4.74507,3.8497,0.675835,,,,,-4.63829,3.87831,4.9905,-0.130201,-0.301839
car2,1.03333,0.033333,lidar,18.446,-4.1503,0.747723,,,,,18.56,-4.12633,-6.21115,0.11258,0.257649
car3,1.03333,0.033333,lidar,-10.8081,0.0223642,0.209682,,,,,-10.7509,0.0459128,1.29007,-0.0163436,-0.341914
car1,1.06667,0.033333,lidar,-4.25777,4.10075,3.65441,,,,,-4.43222,3.91893,5.11671,-0.089704,-0.216328
car2,1.06667,0.033333,lidar,18.5572,-3.89925,3.55668,,,,,18.3929,-4.08539,-6.08505,0.0789293,0.186293
car3,1.06667,0.033333,lidar,-10.4294,0.29931,5.09517,,,,,-10.6582,0.100277,1.48573,0.0998173,-0.138141
car1,1.1,0.033334,lidar,-4.25189,3.80831,0.304313,,,,,-4.26106,3.87949,5.12529,-0.114916,-0.24561
car2,1.1,0.033334,lidar,18.1864,-4.19169,0.268096,,,,,18.1904,-4.12465,-6.09002,0.0995914,0.210103
car3,1.1,0.033334,lidar,-10.5302,0.0337569,0.402773,,,,,-10.5948,0.0881893,1.525,0.0417807,-0.216192
car1,1.13333,0.033333,lidar,-3.93181,3.87677,0.931373,,,,,-4.06136,3.86407,5.22071,-0.118374,-0.23766
car2,1.13333,0.033333,lidar,18.1293,-4.12323,0.727667,,,,,18.0155,-4.14036,-6.00509,0.104146,0.20638
car3,1.13333,0.033333,lidar,-10.3148,0.130098,1.97808,,,,,-10.502,0.0979706,1.66601,0.0383745,-0.203407
car1,1.16667,0.033333,lidar,-4.01033,4.01602,1.55025,,,,,-3.91147,3.88381,5.14144,-0.09791,-0.194145
car2,1.16667,0.033333,lidar,17.673,-3.98398,1.80811,,,,,17.789,-4.11896,-6.08477,0.0842553,0.164376
car3,1.16667,0.033333,lidar,-10.4959,0.298223,1.41578,,,,,-10.4582,0.146668,1.65459,0.154056,-0.025257
car1,1.2,0.033334,lidar,-3.94747,3.99196,2.07323,,,,,-3.7801,3.89513,5.01261,-0.0863561,-0.167408
